Czech,English,,,
spolupracovník (výslovnost),colleague ,,20/1/25,
uchazeč,applicant,,,
Knihovna – slovník – slovní zásoba,library – dictionary - vocabulary,,,
"kamarád, který…",a friend who…,,,
položit otázku,ask a question,,,
bitva (výslovnost),battle ,,,
medvěd  (výslovnost),bear ,,,
"menší, levnější, srandovnější","smaller, cheaper, funnier",,,
Zavináč @,at,,,
tečka (v internetové adrese .com),dot,,,
"tři celých dva (3,2)",three point two ,,,
,,,,
,,,,
farmaceutická společnost,pharmaceutical company,,25/1/25,
společnost byla založena,the company was founded,,,
Švýcarsko,Switzerland,,,
a tak dále,and so on,,,
pobočka,a branch ,,,
v Evropě,in Europe,,,
v České republice,in the Czech Republic,,,
musím jít,I must go,,,
začátek 90. ​​let (devadesátá léta),early 90s ,,,
abychom se podívali na jejich problémy,to look at their problems,,,
v pondělí,on Monday,,,
trávit čas,spend time,,,
faktura,invoice,,,
může to fungovat,it can work,,,
výskyt,incidence,,,
úmrtnost,mortality,,,
lék je indikován… (předepsán na),the drug is indicated for…,,,
léčba,treatment,,,
onemocnění,condition,,,
choroba,disease,,,
adjuvans – podpůrná léčba,adjuvant,,,
kardiovaskulární,cardiovascular,,,
respirační,respiratory,,,
kyselina hyaluronová,hyaluronic acid,,,
mukolytický (na odkašlávání),mucolytic,,,
uro gynekologie,uro gynaecology,,,
léčebné oblasti,thereapeutic areas,,,
osteoartikulární (kosti a klouby),osteoarticular,,,
obrat (finanční),turnover,,,
dceřinná společnost,subsidiary,,,
data jsou,the data is or are,,,
zástupci,representatives,,,
Italové žijí v Itálii,Italians live in Italy,,,
dvě ženy,two women,,,
Umím zpívat,I can sing,,,
deka,blanket,,,
lék,medicine,,,
zánět,inflammation,,,
největší producent,the biggest producer,,,
podávat léky,to admiister medicine,,,
dodržování norem,compliance of norms,,,
,,,,
,,,,
vedoucí oddělení,head of the department,,10/2/25,
náčelník kmene,chief of the tribe,,,
děrné štítky,punch cards,,,
zeptal se mě,he asked me,,,
páté patro,fifth floor (výslovnost: fi... nikoli faj…),,,
pracoval jsem jako technik,I worked as a technician,,,
výrobky,products,,,
pokles výroby,decrease in production,,,
dej tu fotku na web,post the photo on the web,,,
Švýcarsko,Switzerland (výslovnost),,,
řídit firmu,run a company,,,
v práci řeším klienty a dodavatele,at work I deal with clients and suppliers,,,
Jak se to jmenuje?,How is it called?,,,
vodný roztok,aqueous solution (ajkvijes),,,
pohlavní styk,sexual intercourse,,,
"látky podporující růst pohlavních žláz „gonád“ (ovaries, testicles)",gonadotropins (gounéde troupins),,,
glykovaný (s navázaným cukrem),glycosylated (glajkousilejtid),,,
neplodnost,infertility,,,
,,,,(exported to Quizlet 01 on 11/2/25)
,,,,
nedostatečná funkce štítné žlázy,hypothyroid (hajpou tajrojd) problems,,,
filmová postava,film character,,17/2/25,
zajímám se o,I am interested in,,,
generální ředitel,CEO,,,
vyžadovat,require,,,
poslouchat hudbu,listen to music,,,
mezi námi třemi,among the three of us,,,
dávat rady,give advice,,,
on je zodpovědný za,he is responsible for,,,
"zabývám se účty, řeším účty",I deal with accounts,,,
specializuji se na to,I specialise in it,,,
skládá se to z,it consists of,,,
"požádal jsem ho, aby pomohl",I asked him to help,,,
v České republice,in the Czech Republic,,,
hlavně,mainly,,,
,,,,(exported to Quizlet 02 on 17/2/25)
,,,,
pracuji tu 15 let,I have been working here for 15 years,,,
poškození,damage,,24/2/25,
vyskytovat s,occur,,,
cíl,aim,,,
zlepšit,improve,,,
vydělávat,earn,,,
přesná analýza,precise analysis,,,
"přístup, postoj",approach,,,
muset,have to,,,
nesmíte tu kouřit,you mustn’t smoke here,,,
v neděli nemusíte pracovat,you don’t have to work on Sunday,,,
"myslím, že ten film je zajímavý",I think the film is interesting.,,,
přemýšlím o zítřku,I am thinking about tomorrow.,,,
moje práce je konzultovat,my work is to consult,,,
nyní,currently,,,
,,,,(exported to Quizlet 03 on 24/2/25)
,,,,
přípravek,formulation,,,
pot,sweat,,3/3/24,
poškození,damage,,,
trpět něčím,suffer from,,,
silná bolest,sever pain,,,
způsobuje bolest,it causes pain,,,
injekce,syringe,,,
kapsle,capsule,,,
zlepšit,improve,,,
mezi dvěma,between 2,,,
mezi třemi,among 3,,,
poflakuju se s kamarády,I hang out with friends,,,
kašlu na to,I don’t care,,,
starám se o malé děti,take care of small children,,,
pokračuj v práci,carry on working!,,,
nést zavazadlo,carry luggage,,,
děláš si legraci?,are you kidding?,,,
přestat kouřit,quit smoking,,,
zánět močového měchýře,cystitis (systajtys),,,
intersticiální,interstitial (intr stišl),,,
uroteliální (povrchová bariéra močového  traktu),urothelial (juro týlijl),,,
,,,,
v květnu,in May,,,
motýl,butterfly,,10/3/25,
v dubnu,in April,,,
ještě jsem to neviděl,I haven’t seen it yet,,,
mastné kyseliny,fatty acids,,,
nevládní organizace,"NGO, non governmental organisation",,,
píseň od Elvise,a song by Elvis,,,
udržitelný (ekologický),sustainable,,,
chemické vlastnosti,chemical properties,,,
hledal jsem to a našel,I was looking for it and I found it,,,
naplňující povolání,a rewarding job,,,
kulturní dědictví,cultural heritage,,,
"těším se, že se ozvete",I look forward to hearing from you,,,
řekni promiň,say sorry,,,
řekni mu (to),tell him,,,
,,,,(exported to Quizlet 04 on 13/3/25)
,,,,
natočeno Gibsonem,directed by Gibson,,,
vrba,willow,,24/3/25,
"splétaný (cop, pomlázka)",braided,,,
nebuď smutný,don’t be sad,,,
shon před uzávěrkou,crunch time,,,
hodně jsem pracoval,I worked a lot,,,
něco jiného,something else,,,
,,,,
v pátek,on Friday,,,
"já byl, ty jsi byl","I was, you were",,31/3/25,
je mu devadesát,He is 90 ,,,
jít na oběd,go to lunch,,,
řekli jsme “ahoj”,we said “hello”,,,
Jak se jmenuje toto?,How do you call this?,,,
píseň od Beatles,a song by Beatles,,,
"francouzská kuchyně, styl vaření",French cuisine,,,
navrhl jít do kkina,he suggested going to the cinema,,,
hlavní chod oběda,main course of the lunch,,,
,,,,
,,,,
dochvilný,punctual,,,
otisk prstu,fingerprint,,7/4/25,
pokračování (filmu),sequel,,,
unést (únos),hijack,,,
náčelník kmene,chief of the tribe,,,
šéf v práci,boss at work,,,
nápověda,hint,,,
Je tam nějaká autobusová zastávka,Is there any bus stop?,,,
Jak funguje klimatizace?,How does the air-conditioning work?,,,
Trvá to hodinu,It takes 1 hour,,,
přílety a odlety,arrivals and departures,,,
dvacáté první století,Twenty-first century,,,
musím to udělat,I must do it,,,
starat se o dítě,Look after a child,,,
Když hledám auto…,When I look for my car…,,,
Nenašel jsem to,I did not find it.,,,
bednář,cooper,,,
tesař ,carpenter,,,
,,,,
"nastoupit do letadla, nalodit se",to board a plane,,,
letoun,an aircraft,,14/4/25,
zapněte si pásy,fasten your seatbelts,,,
příruční zavazadlo (na palubě),hand luggage,,,
box na zavazadla nad hlavou,overhead compartment,,,
únava po letu do jiného časového pásma,jet lag,,,
bezpečnou cestu!,safe journey!,,,
kterým směrem?,which way?,,,
,,,,
personál,staff (čti: stáf),,,
protivný,annoying (čti: enojing),,5/5/25,
hvízdat,whistle (čti: uisl),,,
pašovat,smuggle,,,
"tlačit, stisknout",push,,,
jakmile budu připraven,as soon as I am ready,,,
bojím se,I am scared,,,
ten film byl strašidelný,the film was scary,,,
nejmenší dům,the smallest house,,,
v Evropě,in Europe,,,
"je to trapné (zahanbující, ostuda)",it is embarrassing,,,
jsou zmatení,they are confused,,,
ještě ne,not yet,,,
(Quizlet 05),,,,
,,,,
letět,"fly, flew, flown",,,
mám pravdu,I am right,,12.5.25,
je to pravda ,it is true ,,,
Viděl jsi tohle někdy?,Have you ever seen it?,,,
Je velmi sebejistý.,He is very confident.,,,
I did it by accident.,Udělal jsem to omylem,,,
strašidelný film,scary movie,,,
děsně špatný film,awful film,,,
divný nechutný člověk,a creepy person,,,
,,,,
jděte rovně,go straight on,,,
kruhový objezd,roundabout,,26.5.25,
semaor,traffic lights,,,
ztratil jsem se,I got lost,,,
zeptat se na cestu,ask for directions,,,
,,,,
zakladatel,founder,,,
zraněný,injured,,2.6.25,
přechod,zebra crossing,,,
chodník,pavement,,,
chodec,pedestrian,,,
křižovatka,junction,,,
brzda,brake,,,
značka dopavní,road sign,,,
předjíždět,overtake ,,,
auto skončilo v příkopu,the car ended up in a ditch,,,
rychle strhnul volant,he swerved the car quickly,,,
,,,,
jako obvykle,as usual,,,
to závisí,it depends,,9.6.25,
hledal jsem klíče a našel je,I looked for keys and then I found them,,,
"přišel jsem, abych ti pomohl",I came to help you,,,
je snadné to udělat,it is easy to do,,,
židle je na sezení,a chair is for sitting,,,
rád bych se napil,I would like to drink.,,,
potřebuji to opravit,I need to repair it,,,
,,,,(Exported to Quizlet 06 on 21 June 2025)
